id	hate_type	hate_severity	to_whom	model
699006	None	Little to None	None	microsoft/mdeberta-v3-base
701268	None	Little to None	None	microsoft/mdeberta-v3-base
742298	None	Little to None	None	microsoft/mdeberta-v3-base
643737	Abusive	Little to None	None	microsoft/mdeberta-v3-base
689092	None	Little to None	None	microsoft/mdeberta-v3-base
563553	Abusive	Mild	None	microsoft/mdeberta-v3-base
662932	None	Little to None	None	microsoft/mdeberta-v3-base
473263	None	Little to None	None	microsoft/mdeberta-v3-base
422168	None	Little to None	None	microsoft/mdeberta-v3-base
862941	None	Little to None	None	microsoft/mdeberta-v3-base
342937	Political Hate	Severe	Organization	microsoft/mdeberta-v3-base
178372	Profane	Severe	Individual	microsoft/mdeberta-v3-base
916768	None	Little to None	None	microsoft/mdeberta-v3-base
215239	None	Little to None	Organization	microsoft/mdeberta-v3-base
763206	None	Little to None	None	microsoft/mdeberta-v3-base
666182	None	Little to None	None	microsoft/mdeberta-v3-base
503048	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
519953	Abusive	Mild	Individual	microsoft/mdeberta-v3-base
679666	None	Little to None	None	microsoft/mdeberta-v3-base
237037	None	Little to None	None	microsoft/mdeberta-v3-base
561654	Abusive	Little to None	Individual	microsoft/mdeberta-v3-base
335959	None	Little to None	None	microsoft/mdeberta-v3-base
672138	None	Little to None	None	microsoft/mdeberta-v3-base
705318	Abusive	Mild	Individual	microsoft/mdeberta-v3-base
251010	Political Hate	Mild	Individual	microsoft/mdeberta-v3-base
50757	None	Little to None	None	microsoft/mdeberta-v3-base
708711	Abusive	Little to None	None	microsoft/mdeberta-v3-base
379033	None	Little to None	None	microsoft/mdeberta-v3-base
356889	None	Little to None	None	microsoft/mdeberta-v3-base
380864	Abusive	Little to None	None	microsoft/mdeberta-v3-base
357388	None	Little to None	None	microsoft/mdeberta-v3-base
237264	None	Little to None	None	microsoft/mdeberta-v3-base
785645	None	Little to None	None	microsoft/mdeberta-v3-base
10221	Abusive	Mild	Organization	microsoft/mdeberta-v3-base
51427	None	Little to None	None	microsoft/mdeberta-v3-base
327009	Profane	Severe	Individual	microsoft/mdeberta-v3-base
72638	None	Little to None	None	microsoft/mdeberta-v3-base
454694	Abusive	Little to None	Community	microsoft/mdeberta-v3-base
531585	None	Little to None	None	microsoft/mdeberta-v3-base
905729	None	Little to None	None	microsoft/mdeberta-v3-base
826344	None	Little to None	None	microsoft/mdeberta-v3-base
622615	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
341026	Abusive	Little to None	None	microsoft/mdeberta-v3-base
756812	None	Little to None	None	microsoft/mdeberta-v3-base
446998	None	Little to None	None	microsoft/mdeberta-v3-base
507755	None	Little to None	None	microsoft/mdeberta-v3-base
252185	None	Little to None	None	microsoft/mdeberta-v3-base
677872	Political Hate	Little to None	Individual	microsoft/mdeberta-v3-base
573406	None	Little to None	None	microsoft/mdeberta-v3-base
708512	None	Little to None	None	microsoft/mdeberta-v3-base
35865	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
521314	None	Little to None	None	microsoft/mdeberta-v3-base
629720	None	Little to None	None	microsoft/mdeberta-v3-base
579590	None	Little to None	None	microsoft/mdeberta-v3-base
420676	None	Little to None	None	microsoft/mdeberta-v3-base
888468	Profane	Severe	Individual	microsoft/mdeberta-v3-base
507098	None	Little to None	None	microsoft/mdeberta-v3-base
33791	None	Little to None	None	microsoft/mdeberta-v3-base
628771	None	Little to None	None	microsoft/mdeberta-v3-base
197579	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
228413	None	Little to None	None	microsoft/mdeberta-v3-base
607208	None	Little to None	None	microsoft/mdeberta-v3-base
482851	Political Hate	Little to None	None	microsoft/mdeberta-v3-base
641065	None	Little to None	None	microsoft/mdeberta-v3-base
154089	None	Little to None	None	microsoft/mdeberta-v3-base
21246	None	Little to None	None	microsoft/mdeberta-v3-base
99970	None	Little to None	None	microsoft/mdeberta-v3-base
243706	Abusive	Mild	Community	microsoft/mdeberta-v3-base
366232	None	Little to None	None	microsoft/mdeberta-v3-base
799431	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
151836	Profane	Little to None	None	microsoft/mdeberta-v3-base
384383	None	Little to None	None	microsoft/mdeberta-v3-base
430350	Abusive	Little to None	Individual	microsoft/mdeberta-v3-base
321512	None	Little to None	None	microsoft/mdeberta-v3-base
791877	None	Little to None	None	microsoft/mdeberta-v3-base
369126	None	Little to None	None	microsoft/mdeberta-v3-base
769210	Abusive	Little to None	Individual	microsoft/mdeberta-v3-base
389866	None	Little to None	None	microsoft/mdeberta-v3-base
124392	Abusive	Little to None	None	microsoft/mdeberta-v3-base
111565	Abusive	Little to None	None	microsoft/mdeberta-v3-base
87928	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
507897	Abusive	Mild	None	microsoft/mdeberta-v3-base
284276	Abusive	Little to None	Individual	microsoft/mdeberta-v3-base
211557	None	Little to None	None	microsoft/mdeberta-v3-base
407528	Abusive	Little to None	Individual	microsoft/mdeberta-v3-base
656024	Abusive	Little to None	Individual	microsoft/mdeberta-v3-base
163256	Abusive	Little to None	None	microsoft/mdeberta-v3-base
701482	None	Little to None	None	microsoft/mdeberta-v3-base
28613	None	Little to None	None	microsoft/mdeberta-v3-base
393451	None	Little to None	None	microsoft/mdeberta-v3-base
130986	None	Little to None	None	microsoft/mdeberta-v3-base
47847	None	Little to None	None	microsoft/mdeberta-v3-base
474831	None	Little to None	None	microsoft/mdeberta-v3-base
262358	None	Little to None	None	microsoft/mdeberta-v3-base
809182	None	Little to None	None	microsoft/mdeberta-v3-base
912597	None	Little to None	None	microsoft/mdeberta-v3-base
491193	None	Little to None	None	microsoft/mdeberta-v3-base
605569	Abusive	Little to None	None	microsoft/mdeberta-v3-base
380424	None	Little to None	None	microsoft/mdeberta-v3-base
603456	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
107100	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
626831	None	Little to None	None	microsoft/mdeberta-v3-base
447213	None	Little to None	None	microsoft/mdeberta-v3-base
697862	None	Little to None	None	microsoft/mdeberta-v3-base
91497	None	Little to None	None	microsoft/mdeberta-v3-base
652526	None	Little to None	None	microsoft/mdeberta-v3-base
24792	None	Little to None	None	microsoft/mdeberta-v3-base
571083	None	Little to None	None	microsoft/mdeberta-v3-base
890268	None	Little to None	None	microsoft/mdeberta-v3-base
5297	None	Little to None	None	microsoft/mdeberta-v3-base
920594	Abusive	Mild	Individual	microsoft/mdeberta-v3-base
172944	Political Hate	Little to None	None	microsoft/mdeberta-v3-base
624079	None	Little to None	None	microsoft/mdeberta-v3-base
770329	None	Little to None	None	microsoft/mdeberta-v3-base
692607	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
3052	None	Little to None	None	microsoft/mdeberta-v3-base
844455	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
814896	Profane	Severe	Community	microsoft/mdeberta-v3-base
110591	Political Hate	Little to None	Organization	microsoft/mdeberta-v3-base
180575	None	Little to None	None	microsoft/mdeberta-v3-base
254322	None	Little to None	None	microsoft/mdeberta-v3-base
574720	None	Little to None	None	microsoft/mdeberta-v3-base
622377	None	Little to None	None	microsoft/mdeberta-v3-base
623083	Political Hate	Little to None	Individual	microsoft/mdeberta-v3-base
668718	Abusive	Little to None	None	microsoft/mdeberta-v3-base
633172	None	Little to None	None	microsoft/mdeberta-v3-base
6790	None	Little to None	None	microsoft/mdeberta-v3-base
850984	Political Hate	Severe	Organization	microsoft/mdeberta-v3-base
500524	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
581344	None	Little to None	None	microsoft/mdeberta-v3-base
654769	None	Little to None	None	microsoft/mdeberta-v3-base
706547	None	Little to None	None	microsoft/mdeberta-v3-base
603782	None	Little to None	None	microsoft/mdeberta-v3-base
302171	None	Little to None	None	microsoft/mdeberta-v3-base
744717	None	Little to None	None	microsoft/mdeberta-v3-base
512972	Profane	Little to None	Individual	microsoft/mdeberta-v3-base
781353	None	Little to None	None	microsoft/mdeberta-v3-base
384814	None	Little to None	None	microsoft/mdeberta-v3-base
15032	None	Little to None	None	microsoft/mdeberta-v3-base
251425	Abusive	Mild	Organization	microsoft/mdeberta-v3-base
813466	None	Little to None	None	microsoft/mdeberta-v3-base
675844	None	Little to None	None	microsoft/mdeberta-v3-base
2583	Religious Hate	Little to None	None	microsoft/mdeberta-v3-base
659227	None	Little to None	None	microsoft/mdeberta-v3-base
169886	None	Little to None	None	microsoft/mdeberta-v3-base
381979	None	Little to None	None	microsoft/mdeberta-v3-base
299641	None	Little to None	None	microsoft/mdeberta-v3-base
704171	None	Little to None	None	microsoft/mdeberta-v3-base
618279	Political Hate	Mild	Individual	microsoft/mdeberta-v3-base
641060	None	Little to None	None	microsoft/mdeberta-v3-base
562096	None	Little to None	None	microsoft/mdeberta-v3-base
318122	Profane	Severe	Individual	microsoft/mdeberta-v3-base
451639	None	Little to None	None	microsoft/mdeberta-v3-base
653504	Abusive	Little to None	None	microsoft/mdeberta-v3-base
144836	None	Little to None	None	microsoft/mdeberta-v3-base
426811	None	Little to None	None	microsoft/mdeberta-v3-base
399359	None	Little to None	None	microsoft/mdeberta-v3-base
610564	None	Little to None	None	microsoft/mdeberta-v3-base
246780	None	Little to None	None	microsoft/mdeberta-v3-base
838887	None	Little to None	None	microsoft/mdeberta-v3-base
144994	None	Little to None	None	microsoft/mdeberta-v3-base
854277	None	Little to None	None	microsoft/mdeberta-v3-base
865313	None	Little to None	None	microsoft/mdeberta-v3-base
578428	None	Little to None	None	microsoft/mdeberta-v3-base
187917	None	Little to None	None	microsoft/mdeberta-v3-base
348388	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
741123	None	Little to None	None	microsoft/mdeberta-v3-base
634544	None	Little to None	None	microsoft/mdeberta-v3-base
778366	Abusive	Little to None	None	microsoft/mdeberta-v3-base
441000	None	Little to None	None	microsoft/mdeberta-v3-base
377994	None	Little to None	None	microsoft/mdeberta-v3-base
362805	None	Little to None	None	microsoft/mdeberta-v3-base
12475	None	Little to None	None	microsoft/mdeberta-v3-base
460383	Abusive	Little to None	None	microsoft/mdeberta-v3-base
870913	None	Little to None	None	microsoft/mdeberta-v3-base
2715	None	Little to None	None	microsoft/mdeberta-v3-base
921356	None	Little to None	None	microsoft/mdeberta-v3-base
196647	Political Hate	Severe	Organization	microsoft/mdeberta-v3-base
824151	None	Little to None	None	microsoft/mdeberta-v3-base
382540	None	Little to None	None	microsoft/mdeberta-v3-base
1087	None	Little to None	None	microsoft/mdeberta-v3-base
380610	None	Little to None	None	microsoft/mdeberta-v3-base
416517	None	Little to None	None	microsoft/mdeberta-v3-base
456028	None	Little to None	None	microsoft/mdeberta-v3-base
431471	None	Little to None	None	microsoft/mdeberta-v3-base
453235	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
927587	None	Little to None	None	microsoft/mdeberta-v3-base
422259	None	Little to None	None	microsoft/mdeberta-v3-base
896697	None	Little to None	None	microsoft/mdeberta-v3-base
42562	None	Little to None	None	microsoft/mdeberta-v3-base
197313	Political Hate	Mild	Individual	microsoft/mdeberta-v3-base
690302	Abusive	Little to None	None	microsoft/mdeberta-v3-base
925174	None	Little to None	None	microsoft/mdeberta-v3-base
535584	None	Little to None	None	microsoft/mdeberta-v3-base
931365	None	Little to None	None	microsoft/mdeberta-v3-base
227393	None	Little to None	None	microsoft/mdeberta-v3-base
329379	None	Little to None	None	microsoft/mdeberta-v3-base
56445	Abusive	Little to None	Individual	microsoft/mdeberta-v3-base
546158	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
258725	None	Little to None	None	microsoft/mdeberta-v3-base
175825	None	Little to None	None	microsoft/mdeberta-v3-base
937532	None	Little to None	None	microsoft/mdeberta-v3-base
833099	Religious Hate	Little to None	Community	microsoft/mdeberta-v3-base
321436	None	Little to None	None	microsoft/mdeberta-v3-base
755018	None	Little to None	None	microsoft/mdeberta-v3-base
798262	Political Hate	Mild	Community	microsoft/mdeberta-v3-base
866278	None	Little to None	None	microsoft/mdeberta-v3-base
210321	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
363164	Religious Hate	Little to None	None	microsoft/mdeberta-v3-base
370542	None	Little to None	None	microsoft/mdeberta-v3-base
132703	None	Little to None	None	microsoft/mdeberta-v3-base
601946	Political Hate	Mild	Society	microsoft/mdeberta-v3-base
897150	None	Little to None	None	microsoft/mdeberta-v3-base
256376	None	Little to None	None	microsoft/mdeberta-v3-base
240015	None	Little to None	None	microsoft/mdeberta-v3-base
259547	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
67131	None	Little to None	None	microsoft/mdeberta-v3-base
923885	None	Little to None	None	microsoft/mdeberta-v3-base
226135	None	Little to None	None	microsoft/mdeberta-v3-base
662300	None	Little to None	None	microsoft/mdeberta-v3-base
677456	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
485008	Abusive	Little to None	None	microsoft/mdeberta-v3-base
529942	Profane	Severe	Organization	microsoft/mdeberta-v3-base
914346	None	Little to None	None	microsoft/mdeberta-v3-base
298173	Abusive	Mild	Organization	microsoft/mdeberta-v3-base
446809	None	Little to None	None	microsoft/mdeberta-v3-base
671424	None	Little to None	None	microsoft/mdeberta-v3-base
793955	Political Hate	Little to None	Society	microsoft/mdeberta-v3-base
157776	Abusive	Mild	Organization	microsoft/mdeberta-v3-base
283469	None	Little to None	None	microsoft/mdeberta-v3-base
206317	None	Little to None	None	microsoft/mdeberta-v3-base
33066	None	Little to None	None	microsoft/mdeberta-v3-base
36214	Political Hate	Severe	Organization	microsoft/mdeberta-v3-base
683112	None	Little to None	None	microsoft/mdeberta-v3-base
831416	Abusive	Mild	Society	microsoft/mdeberta-v3-base
473865	None	Little to None	None	microsoft/mdeberta-v3-base
783655	Political Hate	Little to None	Society	microsoft/mdeberta-v3-base
344565	None	Little to None	None	microsoft/mdeberta-v3-base
240377	None	Little to None	None	microsoft/mdeberta-v3-base
205517	None	Little to None	None	microsoft/mdeberta-v3-base
624990	None	Little to None	None	microsoft/mdeberta-v3-base
114646	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
860260	Political Hate	Little to None	Organization	microsoft/mdeberta-v3-base
321233	None	Little to None	None	microsoft/mdeberta-v3-base
287639	Political Hate	Little to None	Organization	microsoft/mdeberta-v3-base
698525	None	Little to None	None	microsoft/mdeberta-v3-base
640865	None	Little to None	None	microsoft/mdeberta-v3-base
493551	None	Little to None	None	microsoft/mdeberta-v3-base
329369	None	Little to None	None	microsoft/mdeberta-v3-base
687000	Profane	Severe	Individual	microsoft/mdeberta-v3-base
938515	None	Little to None	None	microsoft/mdeberta-v3-base
71327	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
82872	Abusive	Mild	Organization	microsoft/mdeberta-v3-base
564549	None	Little to None	None	microsoft/mdeberta-v3-base
93050	None	Little to None	None	microsoft/mdeberta-v3-base
684599	None	Little to None	None	microsoft/mdeberta-v3-base
923214	None	Little to None	None	microsoft/mdeberta-v3-base
712666	None	Little to None	None	microsoft/mdeberta-v3-base
516447	None	Little to None	None	microsoft/mdeberta-v3-base
789503	None	Little to None	None	microsoft/mdeberta-v3-base
126197	Profane	Severe	Organization	microsoft/mdeberta-v3-base
83510	None	Little to None	None	microsoft/mdeberta-v3-base
693378	None	Little to None	None	microsoft/mdeberta-v3-base
766830	Abusive	Little to None	None	microsoft/mdeberta-v3-base
917369	Abusive	Little to None	Individual	microsoft/mdeberta-v3-base
140689	Profane	Severe	Community	microsoft/mdeberta-v3-base
828319	None	Little to None	None	microsoft/mdeberta-v3-base
441784	None	Little to None	None	microsoft/mdeberta-v3-base
584069	None	Little to None	None	microsoft/mdeberta-v3-base
595722	None	Little to None	None	microsoft/mdeberta-v3-base
587975	Political Hate	Mild	Individual	microsoft/mdeberta-v3-base
737847	None	Little to None	None	microsoft/mdeberta-v3-base
355260	None	Little to None	None	microsoft/mdeberta-v3-base
208807	None	Little to None	None	microsoft/mdeberta-v3-base
698527	None	Little to None	None	microsoft/mdeberta-v3-base
342704	None	Little to None	None	microsoft/mdeberta-v3-base
281083	None	Little to None	None	microsoft/mdeberta-v3-base
594110	Abusive	Mild	None	microsoft/mdeberta-v3-base
208175	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
536181	None	Little to None	None	microsoft/mdeberta-v3-base
562508	None	Little to None	None	microsoft/mdeberta-v3-base
844368	Political Hate	Severe	Organization	microsoft/mdeberta-v3-base
355570	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
576652	Abusive	Little to None	Individual	microsoft/mdeberta-v3-base
230254	Political Hate	Mild	Individual	microsoft/mdeberta-v3-base
396913	None	Little to None	None	microsoft/mdeberta-v3-base
160607	None	Little to None	None	microsoft/mdeberta-v3-base
775615	None	Little to None	None	microsoft/mdeberta-v3-base
634523	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
313291	Abusive	Mild	Individual	microsoft/mdeberta-v3-base
631046	Abusive	Little to None	Community	microsoft/mdeberta-v3-base
550426	Political Hate	Severe	Individual	microsoft/mdeberta-v3-base
807498	None	Little to None	None	microsoft/mdeberta-v3-base
388081	None	Little to None	None	microsoft/mdeberta-v3-base
532701	None	Little to None	None	microsoft/mdeberta-v3-base
506934	None	Little to None	None	microsoft/mdeberta-v3-base
322440	None	Little to None	None	microsoft/mdeberta-v3-base
507780	None	Little to None	None	microsoft/mdeberta-v3-base
133106	None	Little to None	None	microsoft/mdeberta-v3-base
584019	None	Little to None	Individual	microsoft/mdeberta-v3-base
474793	None	Little to None	None	microsoft/mdeberta-v3-base
890928	None	Little to None	None	microsoft/mdeberta-v3-base
888703	None	Little to None	None	microsoft/mdeberta-v3-base
391227	None	Little to None	None	microsoft/mdeberta-v3-base
511127	Abusive	Mild	Individual	microsoft/mdeberta-v3-base
507374	None	Little to None	None	microsoft/mdeberta-v3-base
680347	Abusive	Little to None	None	microsoft/mdeberta-v3-base
63627	None	Little to None	None	microsoft/mdeberta-v3-base
903197	None	Little to None	None	microsoft/mdeberta-v3-base
938868	None	Little to None	None	microsoft/mdeberta-v3-base
675732	None	Little to None	None	microsoft/mdeberta-v3-base
482546	None	Little to None	None	microsoft/mdeberta-v3-base
675440	Abusive	Little to None	None	microsoft/mdeberta-v3-base
115168	None	Little to None	None	microsoft/mdeberta-v3-base
352533	Political Hate	Little to None	Individual	microsoft/mdeberta-v3-base
630861	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
768879	None	Little to None	None	microsoft/mdeberta-v3-base
882539	None	Little to None	None	microsoft/mdeberta-v3-base
558518	None	Little to None	None	microsoft/mdeberta-v3-base
937312	None	Little to None	None	microsoft/mdeberta-v3-base
422059	None	Little to None	None	microsoft/mdeberta-v3-base
416662	None	Little to None	None	microsoft/mdeberta-v3-base
632696	Abusive	Little to None	None	microsoft/mdeberta-v3-base
203962	None	Little to None	None	microsoft/mdeberta-v3-base
857709	None	Little to None	None	microsoft/mdeberta-v3-base
793617	None	Little to None	None	microsoft/mdeberta-v3-base
486353	None	Little to None	None	microsoft/mdeberta-v3-base
635854	None	Little to None	None	microsoft/mdeberta-v3-base
84223	None	Little to None	None	microsoft/mdeberta-v3-base
150930	None	Little to None	None	microsoft/mdeberta-v3-base
156149	None	Little to None	None	microsoft/mdeberta-v3-base
772243	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
644418	None	Little to None	None	microsoft/mdeberta-v3-base
723392	Abusive	Little to None	Society	microsoft/mdeberta-v3-base
717266	Profane	Severe	Individual	microsoft/mdeberta-v3-base
75367	None	Little to None	None	microsoft/mdeberta-v3-base
398304	None	Little to None	None	microsoft/mdeberta-v3-base
350619	None	Little to None	None	microsoft/mdeberta-v3-base
633361	Political Hate	Little to None	None	microsoft/mdeberta-v3-base
545400	None	Little to None	None	microsoft/mdeberta-v3-base
184710	Religious Hate	Mild	Individual	microsoft/mdeberta-v3-base
126450	None	Little to None	None	microsoft/mdeberta-v3-base
157874	Profane	Severe	Community	microsoft/mdeberta-v3-base
268695	None	Little to None	None	microsoft/mdeberta-v3-base
443262	Profane	Severe	Organization	microsoft/mdeberta-v3-base
405050	Abusive	Mild	Organization	microsoft/mdeberta-v3-base
475199	None	Little to None	None	microsoft/mdeberta-v3-base
909906	None	Little to None	None	microsoft/mdeberta-v3-base
619424	Profane	Severe	Individual	microsoft/mdeberta-v3-base
338317	None	Little to None	None	microsoft/mdeberta-v3-base
208842	None	Little to None	None	microsoft/mdeberta-v3-base
297713	Political Hate	Little to None	None	microsoft/mdeberta-v3-base
198549	Political Hate	Little to None	Organization	microsoft/mdeberta-v3-base
240451	None	Little to None	None	microsoft/mdeberta-v3-base
432313	None	Little to None	None	microsoft/mdeberta-v3-base
556009	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
291078	None	Little to None	None	microsoft/mdeberta-v3-base
647866	Political Hate	Little to None	None	microsoft/mdeberta-v3-base
885374	None	Little to None	None	microsoft/mdeberta-v3-base
149363	None	Little to None	None	microsoft/mdeberta-v3-base
169573	None	Little to None	None	microsoft/mdeberta-v3-base
456507	Abusive	Mild	Society	microsoft/mdeberta-v3-base
589233	Political Hate	Mild	None	microsoft/mdeberta-v3-base
112377	None	Little to None	None	microsoft/mdeberta-v3-base
831724	None	Little to None	None	microsoft/mdeberta-v3-base
5407	None	Little to None	None	microsoft/mdeberta-v3-base
15943	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
741246	None	Little to None	None	microsoft/mdeberta-v3-base
61405	None	Little to None	None	microsoft/mdeberta-v3-base
915869	None	Little to None	None	microsoft/mdeberta-v3-base
511267	None	Little to None	None	microsoft/mdeberta-v3-base
1471	None	Little to None	None	microsoft/mdeberta-v3-base
367605	Religious Hate	Mild	Society	microsoft/mdeberta-v3-base
174842	None	Little to None	None	microsoft/mdeberta-v3-base
137391	Profane	Severe	Individual	microsoft/mdeberta-v3-base
840729	None	Little to None	None	microsoft/mdeberta-v3-base
416127	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
330333	None	Little to None	None	microsoft/mdeberta-v3-base
670421	None	Little to None	None	microsoft/mdeberta-v3-base
242499	None	Little to None	None	microsoft/mdeberta-v3-base
144117	None	Little to None	None	microsoft/mdeberta-v3-base
639424	Abusive	Mild	Individual	microsoft/mdeberta-v3-base
394368	Religious Hate	Severe	Society	microsoft/mdeberta-v3-base
291259	Abusive	Little to None	Community	microsoft/mdeberta-v3-base
142509	None	Little to None	None	microsoft/mdeberta-v3-base
226408	Abusive	Little to None	Individual	microsoft/mdeberta-v3-base
486351	None	Little to None	None	microsoft/mdeberta-v3-base
865343	None	Little to None	None	microsoft/mdeberta-v3-base
490548	None	Little to None	None	microsoft/mdeberta-v3-base
430804	None	Little to None	None	microsoft/mdeberta-v3-base
292631	None	Little to None	None	microsoft/mdeberta-v3-base
399708	None	Little to None	None	microsoft/mdeberta-v3-base
62074	None	Little to None	None	microsoft/mdeberta-v3-base
277817	None	Little to None	None	microsoft/mdeberta-v3-base
451449	None	Little to None	None	microsoft/mdeberta-v3-base
937837	None	Little to None	None	microsoft/mdeberta-v3-base
69996	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
472779	None	Little to None	None	microsoft/mdeberta-v3-base
593869	None	Little to None	None	microsoft/mdeberta-v3-base
113374	None	Little to None	None	microsoft/mdeberta-v3-base
295098	Political Hate	Little to None	None	microsoft/mdeberta-v3-base
688164	None	Little to None	None	microsoft/mdeberta-v3-base
754307	None	Little to None	None	microsoft/mdeberta-v3-base
185344	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
206819	None	Little to None	None	microsoft/mdeberta-v3-base
776128	Religious Hate	Mild	None	microsoft/mdeberta-v3-base
438265	None	Little to None	None	microsoft/mdeberta-v3-base
586064	None	Little to None	None	microsoft/mdeberta-v3-base
588534	None	Little to None	None	microsoft/mdeberta-v3-base
863686	None	Little to None	None	microsoft/mdeberta-v3-base
694501	None	Little to None	None	microsoft/mdeberta-v3-base
97900	None	Little to None	None	microsoft/mdeberta-v3-base
166900	None	Little to None	None	microsoft/mdeberta-v3-base
109971	None	Little to None	None	microsoft/mdeberta-v3-base
497464	None	Little to None	None	microsoft/mdeberta-v3-base
376477	None	Little to None	None	microsoft/mdeberta-v3-base
65718	None	Little to None	None	microsoft/mdeberta-v3-base
784043	Abusive	Mild	Organization	microsoft/mdeberta-v3-base
702897	None	Little to None	None	microsoft/mdeberta-v3-base
352371	None	Little to None	None	microsoft/mdeberta-v3-base
52223	None	Little to None	None	microsoft/mdeberta-v3-base
131128	None	Little to None	Community	microsoft/mdeberta-v3-base
13831	Abusive	Little to None	None	microsoft/mdeberta-v3-base
148597	None	Little to None	None	microsoft/mdeberta-v3-base
60602	None	Little to None	None	microsoft/mdeberta-v3-base
752509	Abusive	Severe	Society	microsoft/mdeberta-v3-base
730085	None	Little to None	None	microsoft/mdeberta-v3-base
625048	None	Little to None	None	microsoft/mdeberta-v3-base
541629	Abusive	Little to None	None	microsoft/mdeberta-v3-base
895206	Abusive	Severe	Individual	microsoft/mdeberta-v3-base
725993	Political Hate	Little to None	Society	microsoft/mdeberta-v3-base
296053	None	Little to None	None	microsoft/mdeberta-v3-base
240086	None	Little to None	None	microsoft/mdeberta-v3-base
